iter	Passed	Remaining
0	61	61304
1	63	31656
2	66	22024
3	69	17224
4	71	14183
5	73	12096
6	75	10660
7	77	9623
8	79	8771
9	81	8055
10	83	7492
11	85	7068
12	88	6688
13	90	6356
14	92	6057
15	95	5853
16	97	5623
17	99	5419
18	101	5239
19	103	5074
20	106	4954
21	109	4847
22	111	4750
23	113	4624
24	115	4515
25	117	4417
26	120	4329
27	122	4236
28	125	4193
29	128	4165
30	131	4095
31	134	4071
32	136	4000
33	139	3958
34	141	3904
35	143	3842
36	146	3803
37	149	3784
38	151	3736
39	153	3687
40	156	3653
41	158	3607
42	159	3543
43	162	3534
44	163	3469
45	166	3445
46	167	3390
47	169	3358
48	172	3354
49	174	3318
50	176	3287
51	178	3255
52	180	3225
53	182	3200
54	185	3184
55	187	3160
56	190	3146
57	192	3121
58	194	3107
59	197	3101
60	200	3080
61	202	3062
62	204	3039
63	206	3024
64	208	3002
65	210	2984
66	212	2961
67	214	2943
68	216	2921
69	218	2901
70	221	2892
71	223	2875
72	225	2857
73	227	2841
74	228	2823
75	230	2805
76	232	2787
77	234	2774
78	238	2777
79	241	2777
80	243	2766
81	245	2753
82	248	2740
83	250	2726
84	252	2714
85	254	2700
86	255	2686
87	257	2671
88	259	2658
89	261	2646
90	263	2633
91	265	2620
92	267	2607
93	269	2594
94	271	2584
95	273	2572
96	275	2565
97	278	2560
98	280	2551
99	282	2540
100	284	2530
101	286	2519
102	288	2516
103	290	2506
104	293	2497
105	294	2487
106	296	2478
107	298	2468
108	302	2470
109	304	2463
110	306	2454
111	309	2450
112	310	2441
113	312	2427
114	314	2419
115	316	2411
116	318	2403
117	320	2394
118	322	2386
119	324	2382
120	327	2381
121	329	2373
122	331	2365
123	333	2357
124	335	2349
125	337	2341
126	339	2333
127	342	2330
128	344	2327
129	347	2324
130	349	2316
131	352	2315
132	354	2308
133	355	2300
134	357	2293
135	359	2285
136	361	2279
137	363	2273
138	365	2266
139	368	2262
140	370	2256
141	372	2249
142	374	2245
143	376	2239
144	379	2235
145	381	2229
146	382	2219
147	384	2212
148	386	2207
149	388	2200
150	390	2193
151	392	2187
152	393	2177
153	395	2173
154	397	2169
155	399	2163
156	401	2157
157	402	2147
158	404	2140
159	406	2134
160	408	2129
161	410	2123
162	412	2119
163	414	2114
164	416	2108
165	418	2103
166	420	2097
167	422	2092
168	424	2089
169	426	2082
170	428	2077
171	431	2077
172	434	2075
173	436	2071
174	439	2070
175	441	2064
176	442	2059
177	444	2054
178	446	2048
179	448	2043
180	450	2038
181	452	2033
182	454	2028
183	456	2024
184	459	2025
185	461	2017
186	462	2009
187	464	2005
188	466	2001
189	468	1996
190	470	1992
191	472	1988
192	474	1982
193	476	1980
194	478	1976
195	480	1971
196	482	1967
197	484	1962
198	486	1956
199	489	1956
200	490	1951
201	493	1950
202	495	1946
203	497	1941
204	499	1937
205	502	1934
206	504	1930
